title,imdbRating,imdbVotes,tomatometer
Barakah Meets Barakah,6.3,"1,745",100%
Beasts of No Nation,7.7,"81,658",91%
Being Elmo: A Puppeteer's Journey,7.6,"7,096",95%
Black Mirror: Bandersnatch,7.1,"126,946",N/A
Bohemian Rhapsody,7.9,"534,477",60%
Bombay,8.1,"12,811",N/A
Booksmart,7.1,"119,079",96%
Born in Gaza,7.4,527,N/A
"Bread, Love and Dreams",6.9,"1,824",N/A
Bright Star,6.9,"27,687",83%
Brussels By Night,6.5,566,N/A
Budhia Singh: Born to Run,7.6,"1,524",91%
Bulbbul,6.5,"12,096",83%
Call Me by Your Name,7.8,"269,728",94%
Canvas,6.4,"2,761",N/A
Capture the Flag,5.8,"3,866",46%
Casting JonBenet,6.1,"5,481",82%
Catch Me If You Can,8.1,"967,443",96%
Caterina in the Big City,6.8,"3,004",90%
Chasing Coral,8.0,"5,255",100%
Cities of Last Things,6.2,"1,701",81%
Classmates Minus,7.1,"1,677",N/A
Cloud Atlas,7.4,"362,751",66%
Coach Carter,7.3,"149,400",64%
Cold War,7.5,"57,099",92%
Collateral,7.5,"402,094",86%
Collision Course,4.6,"1,580",N/A
Connected,6.6,"2,330",N/A
Coven of Sisters,N/A,N/A,N/A
Crazy for Football,6.8,47,N/A
Crip Camp: A Disability Revolution,N/A,N/A,N/A
Crocodiles,7.6,"2,876",N/A
"Cryptopia: Bitcoin, Blockchains and the Future of the Internet",7.0,886,N/A
Cuties,3.5,"30,757",86%
Da 5 Bloods,6.5,"51,449",92%
Dafne,6.4,276,N/A
David Attenborough: A Life on Our Planet,8.9,"32,120",96%
Dear Ex,7.3,"6,434",90%
Der Junge Muss an die Frische Luft,N/A,N/A,N/A
Descendant,4.1,461,N/A
Dhh,7.8,371,N/A
Dick Johnson Is Dead,7.4,"6,650",100%
Die Beste aller Welten,N/A,N/A,N/A
Dil Chahta Hai,8.1,"72,479",N/A
Dil Dhadakne Do,7.0,"17,972",65%
Dil Se,7.5,"28,915",60%
Dilili à Paris,N/A,N/A,N/A
Disclosure,6.1,"50,743",60%
Divine Intervention,6.6,"3,683",81%
Divines,7.4,"9,923",84%
Dolly Parton’s Christmas on the Square,N/A,N/A,N/A
Don't Look Up,7.2,"530,036",N/A
Dunkirk,7.8,"652,549",92%
E-Team,7.1,897,82%
8 Mile,7.1,"288,123",75%
Anger Management,6.2,"216,170",42%
Bird Box,6.6,"339,908",64%
Due Date,6.5,"344,275",39%
Edge of Tomorrow,7.9,"674,953",91%
Executive Decision,6.5,"57,796",63%
Extraction,6.7,"201,474",67%
Fifty Shades of Grey,4.1,"319,692",24%
Focus,6.6,"248,555",N/A
Fury,7.5,"487,948",76%
Geostorm,5.3,"108,582",17%
Gladiator,8.5,"1,488,216",78%
Gone Girl,8.1,"975,926",88%
He's Just Not That Into You,6.4,"173,560",41%
I Am Legend,7.2,"753,837",68%
Inception,8.8,"2,328,647",87%
Inglourious Basterds,8.3,"1,434,222",89%
Interstellar,8.6,"1,799,869",73%
Jack Reacher: Never Go Back,6.1,"159,652",38%
Jack the Giant Slayer,6.2,"139,468",52%
Journey 2: The Mysterious Island,5.7,"104,982",45%
Jumanji: Welcome to the Jungle,6.9,"378,560",76%
Kong: Skull Island,6.6,"318,919",75%
Liar Liar,6.9,"308,404",83%
London Has Fallen,5.9,"159,235",27%
Love and Monsters,6.9,"127,225",94%
Mamma Mia!,6.5,"245,874",55%
Man of Steel,7.1,"768,191",56%
Meet the Fockers,6.3,"271,488",38%
Minority Report,7.7,"550,681",90%
Miss Congeniality,6.3,"210,838",41%
Mission: Impossible - Ghost Protocol,7.4,"490,224",93%
Mission: Impossible - Rogue Nation,7.4,"372,178",94%
Mowgli: Legend of the Jungle,6.5,"62,197",52%
Murder Mystery,6.0,"127,951",44%
Notting Hill,7.2,"311,089",84%
Now You See Me 2,6.4,"289,524",34%
Ocean's 8,7.1,21,N/A
Ocean's Eleven,7.7,"572,663",83%
Ocean's Thirteen,6.9,"347,431",70%
Ocean's Twelve,6.5,"390,030",55%
Pokémon Detective Pikachu,6.5,"163,224",68%
Project Power,6.0,"88,533",61%
Rampage,6.1,"168,379",51%
Rango,7.2,"265,805",88%
Ransom,6.7,"128,748",74%
Red Notice,6.3,"272,555",36%
Rush Hour,7.0,"268,249",61%
Rush Hour 2,6.6,"220,636",51%
Rush Hour 3,6.2,"168,800",17%
S.W.A.T.,6.0,"148,087",48%
San Andreas,6.1,"237,512",48%
Scooby-Doo,5.2,"114,172",32%
Sex and the City: The Movie,N/A,N/A,N/A
Shazam!,7.0,"332,216",90%
Sherlock Holmes,7.6,"631,853",69%
Sherlock Holmes: A Game of Shadows,7.4,"454,600",59%
Shutter Island,8.2,"1,296,650",68%
